approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
IE2007,Kepak Kilbeggan Unlimited Company,"Rostella, Kilbeggan, N91 V449",Co. Westmeath,,"County Westmeath,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE533,Kepak Longford,"Rathmore, Ballymahon N39 T3C3",Co. Longford,,"County Longford,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
EU2447/CN022,Kevin Heery,"Cloneary, Bawnboy, Belturnet, Co Cavan H14Y P49","P49 Cloneary, Bawnboy, Belturnet",H14Y,County Cavan,Ireland,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
IE2981,Kevin Stone T/A Lansborough Meat Company,"Main Street, Lanesborough, N39 P3K4",Co. Longford,,"County Longford,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE2837,Kimex Ireland LTD,"UNIT 7, GOLDENBRIDGE INDUSTRIAL ESTATE, TYCONNELL ROAD, INCHACORE, DUBLIN 8 D08 H281","H281 UNIT 7, GOLDENBRIDGE INDUSTRIAL ESTATE, TYCONNELL ROAD, INCHICORE, DUBLIN 8",D08,"County Dublin,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE2864,La Charcuterie,"St Patricks Mills, Douglas,",Co. Cork,,"County Cork,Munster",Ireland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
IE325,Liffey Meats Cavan,"Ballyjamesduff, Cavan, A82 N766",Cavan,,County Cavan,Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE2003,Liffey Meats Hacketstown,Hacketstown Co Carlow R93 E2K5,Co. Carlow,,"County Carlow,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE401,Liffey Meats T/A O’ Connor Meat Products 2010 Ltd,"Taghmaconnell, Ballinasloe, Co Roscommon","HW24 Togher, Ballinasloe, Co. Roscommon",H53,"County Roscommon,Connacht",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE 2515,Lislin Meats,Cloughballybeg Mullagh A82 R262,Co. Cavan,,County Cavan,Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE799,M&M Walshe T/A Ribworld,"Killenaule Road,Fethard Road, Co Tipperary, E91 X309",Co. Tipperary,,"County Tipperary,Munster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE372,Martin Jennings Wholesale Ltd,"Neale Road, Ballinrobe Co Mayo F31 CF53","CF53 Neale Rd, Knockfereen, Ballinrobe, Co. Mayo",F31,"County Mayo,Connacht",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE608,McCarren Meats,Farnham Road Cavan Co. Cavan H12 XK44,Co. Cavan,,County Cavan,Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE3034,Micheal Healy T/A Healy Family Meats Ltd,"Main Street, Banagher, R42 YX48",Banagher,,"County Offaly,Leinster",Ireland,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
IE370,Moyvalley Meats (IRL),"Broadford, W91 D588",Co. Kildare,,"County Kildare,Leinster",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE2011,O'Farrell Meats Ltd,"CGI Food Park, Midleton, Co. Cork P25 Y283",Co. Cork,,"County Cork,Munster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE2477,O'Flynn Meats,Gracedieu Waterford X91 V092,V092 GRACEDIEU WATERFORD,X91,"County Waterford,Munster",Ireland,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE2653,O'GORMAN MEATS,KNOCKNACREE CASTLEDERMOT CO KILDARE R14 TR83,TR83 Castledermot ED,R14,"County Kildare,Leinster",Ireland,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE784,Oliver Carty UC,"Monksland Industrial Estate, Athlone, N37 R628",Co. Roscommon,,"County Roscommon,Connacht",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE2410,QUALITY FIRST LTD. t/a ROSIE AND JIM,"UNIT B, MUIRFIELD INDUSTRIAL ESTATE, MUIRFIELD DRIVE, D12 FF20",DUBLIN 12 County Dublin,,"County Dublin,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE332,QUEALLY PIG SLAUGHTERING LTD. T/A DAWN PORK & BACON,"Grannagh, X91V224",Co. Waterford,,"County Waterford,Munster",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
2541,Ronald Rawle,Ballinalee Longford N39T6Y7,Co. Longford,N39T6Y7,"County Longford,Leinster",Ireland,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE356,Rosderra Irish Meats Group,"Carrick Road, Edenderry, Co Offaly. R45 PW01",Co. Offaly,,"County Offaly,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE355,Rosderra Irish Meats Group Tipperary,"Carrick, Roscrea, E53 V585",Co. Tipperary,,"County Tipperary,Munster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE611,Rosderra Irish Meats Group UC,CURRAHEEN MITCHELSTOWN P67 XH27,XH27 Co. Cork,P67,"County Cork,Munster",Ireland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE601EC,SHANNONSIDE FOODS,MORELLS BRIDGE TURNINGS LOWER STRAFAN W23 D838,Co. Kildare,,"County Kildare,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE2376,Sandyford Meats Ltd,"32 Ravens Rock road, Sandyford Business Park, Dublin 18 D18 Y8R9","Y8R9 RAVENS ROCK ROAD, SANDYFORD BUSINESS PARK, DUBLIN 18",D18,"County Dublin,Leinster",Ireland,RM,CP,N,bovine ovine,CP - Cutting Plant,,
2404,Sean Rooney,Cornaglagh Kinlough Leitrim F94F5C7,Kinlough,,"County Leitrim,Connacht",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
EC2404,Sean Rooney Abattoir,"Cornaglah, Ballyshannon, F94 DP6A",Co. Donegal,,County Donegal,Ireland,RM,SH,Y,,SH - Slaughterhouse,,
2840,Secret Recipe Limited,Unit 4 Link Road Business Park Ballincollig Cork P31V051,Co. Cork,,"County Cork,Munster",Ireland,RM,CP,N,bovine,CP - Cutting Plant,,
2316,Secret Recipe Limited,"Inchybridge, Timoleague",Co. Cork,,"County Cork,Munster",Ireland,RM,CP,N,porcine,CP - Cutting Plant,,
IE380,Staunton Foods Ltd.,"Spital Cross, Timoleague, Bandon, Co. Cork. P72 PY90",Co. Cork,,"County Cork,Munster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
2915,Stela Foods,"Unit 2, Greenhills Business Park Drogheda Louth A92 KVW5",Louth,,"County Louth,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
EU02483,Stephen Kerr,"Glebe, Ballyare, Ramelton, Co. Donegal F92 FKP0",Co. Donegal,,County Donegal,Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE2993,Tavan Meats Limited,"Rantavan, Mullagh, Co Cavan, A82 K512","K512 Rantavan, Mullagh, Co Cavan, A82 K512",A82,County Cavan,Ireland,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2684,Tony Carolan,Davitt Terrace Castlebar F23 NY64,Co. Mayo,,"County Mayo,Connacht",Ireland,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE2732,Traditional Meat Company (Ireland) Unlimited Company,"Gortloney Dromone Oldcastle, A82 WY83",Co. Meath,,"County Meath,Leinster",Ireland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2663,Troy's Abattoir Ltd,"Rathnure, Dalystown, Mullingar, N91 NY16",Co. Westmeath,,"County Westmeath,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE3005,Twin Town Quality Meats Ltd,Magherycallaghan Castlefinn F93 KX94,Co. Donegal,,County Donegal,Ireland,RM,CP,N,,CP - Cutting Plant,,
IE2050,WP MEATS LTD,"Unit J1, Mill River Business Park, Carrick-on-Suir, Co. Tipperary E32 AH63",Co. Tipperary,,"County Tipperary,Munster",Ireland,RM,CP,N,bovine,CP - Cutting Plant,,
IE2420,Walsh Butchers,lisminton ltd ballintra,Co. Donegal,,County Donegal,Ireland,RM,SH,Y,bovine ovine porcine,SH - Slaughterhouse,,
