approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
F104011,DP Meat,Harelbeeksestraat 96,Kuurne,8520,"West Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F508,DTS MEAT PROCESSING N.V.,Houtelweg 1,Rijkevorsel,2310,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F101455,DUDEMSA BVBA,Slingerweg 64,Genk,3600,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F580,Dameat,Gipsweg 4,Evergem,9940,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F1037,De Flou Steven,Urselweg 16B,Maldegem,9990,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F103322,De Mulder Patrick,Herentalsebaan 406/D6,Wommelgem,2160,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F104343,De Plaetse Molen,Lichterveldestraat 19/B,Pittem,8740,"West Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F104242,De Roover,Doornstraat 145,Temse,9140,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F65,De Roy Vlees BV,Mechelsesteenweg(CEN) 224,Sint-Katelijne-Waver,2860,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F25,De Vlaeminck Ivan en Zoon,Zuidstraat 34,Kaprijke,9970,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
1068,Debaenst / Cuisine Catherine / Viangel,Rue du Blanc Bleu Belge 11,Mouscron/Moeskroen,7700,"Hainaut,Wallonia",Belgium,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
F544,Delimeal West,Gravestraat 7 B,Wingene,8750,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F344,Delvaux J.-J.,Rue de la Grande Sambresse(TX) 10,Namur,5020,"Namur,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F260,Desmet Vleeshandel & Zn BV,Hulstestraat 5,Oostrozebeke,8780,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine,CP - Cutting Plant,,
F809,Dialex,Grote Baan 25,Lievegem,9920,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F192,Dierckx Jef En Zonen,Energielaan 24 b 8,Kapellen,2950,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F103376,Dierendonck Butchery,Albert I laan 70,Veurne,8630,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F667,Dierickx N.V.,Baaikensstraat 12,Zele,9240,"East Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
36/1 (1),Dobbelaere Dominique,Statiestraat 153,Lichtervelde,8810,"West Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
11,E.E.G. SLACHTHUIS MARCEL VAN HOORNWEDER & ZOON,Vredelaan 7,Torhout,8820,"West Flanders,Flanders",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
160,EEG SLACHTHUIS MECHELEN,Slachthuislaan 1,Mechelen,2800,"Antwerp,Flanders",Belgium,RM,SH,Y,bovine equine porcine,SH - Slaughterhouse,,
F396,ETABLISSEMENTS HARTMAN ET FILS,Chaussée de Neufchâteau 71,Vaux-sur-Sûre,6640,"Luxembourg,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
59/1,ETN ADRIAENS NV,Slachthuisstraat 1,Zottegem,9620,"East Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F449,EUROKIP DE WAELE-VAN OSSELAER,Eurolaan 15,Temse,9140,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F188,Equinox,Bijkhoevelaan 20,Wijnegem,2110,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F423,Ets Allaert S.A.,Rue du Compas 63,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
129,Euro Meat Group,Rue de l'Abattoir 46,Mouscron/Moeskroen,7700,"Hainaut,Wallonia",Belgium,RM,SH,Y,bovine,SH - Slaughterhouse,,
51/2,Exportslachthuis De Coster NV,"Kloosterstraat, 140A",Wingene,8755,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
51,Exportslachthuis De Coster NV,"Kloosterstraat, 140A",Wingene,8755,"West Flanders,Flanders",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
17,Exportslachthuis Tielt,Hoogserleistraat 3,Tielt,8700,"West Flanders,Flanders",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
F680,FESTIN,Chaussée de Tongres 46,Rocourt,4000,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F84,FIAN MEAT BVBA,Heiendestraat 94,Lokeren,9160,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F949,FLANDERS MEAT TRADING,Vismijnlaan 14-15-16-17,Oostende,8400,"West Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F10,FLORU,Watermolenstraat 10,Erembodegem,9320,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F636,FM MEAT,Rozendaalstraat 125,Ypres,8900,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F443,FRESH SPEGELAERE,Fabriekweg(EER) 5,Eernegem,8480,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F355,Fiers J. & B.,Wiedauwkaai 49,Ghent,9000,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F64,Finartes NV,Fabriekweg(EER) 11-13,Ichtegem,8480,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F107,Firma Charles De Nil en zoon,Zwaarveld 39,Hamme,9220,"East Flanders,Flanders",Belgium,RM,CP,N,equine,CP - Cutting Plant,,
56,Flanders Meat Group Zele,Baaikensstraat 33,Zele,9240,"East Flanders,Flanders",Belgium,RM,SH,Y,bovine,SH - Slaughterhouse,,
F869,Fribona NV,Vliegweg 23,Oostkamp,8020,"West Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
13,G. VAN LANDSCHOOT & ZONEN NV,Prins Boudewijnlaan 22,Maldegem,9990,"East Flanders,Flanders",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
13/1,G. VAN LANDSCHOOT & ZONEN NV,Prins Boudewijnlaan 22,Maldegem,9990,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F89,G.H.L.,Rue de Merckhof 113,Aubel,4880,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
79/2,GEBR. VAN DEN PUTTE,Mechelsesteenweg 101,Heist-op-den-Berg,2220,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
1/39,GEBROEDERS GRADE BVBA,Rue Ropsy Chaudron 24,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F566,GEYSKENS-DELIKATESSEN Beringen,Terbekstraat 16,Beringen,3580,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F9-1,GIELIS,Ernest Claesstraat(HRT) 30 / A,Herentals,2200,"Antwerp,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F415,GMG Versmarkt,Slachthuisstraat 20,Sint-Truiden,3800,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F101248,GOOD MEAT,Venecolaan 28,Aalter,9880,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F781,GREEN MEAT,Lar P 22,Menen,8930,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine,CP - Cutting Plant,,
F1125,GUSTOBEL BV,Krommebeekpark 10,Roeselare,8800,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F241,Gold Meat Belgium NV,Industrieweg 6,Heusden-Zolder,3550,"Limburg,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
36/1 (2),Gratiën De Kock,Statiestraat 153,Lichtervelde,8810,"West Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F104591 // 160,H+,Haagdam 2A en +2A,Temse,9140,"East Flanders,Flanders",Belgium,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
F823,H.G.C.- HANOS,Nijverheidsstraat 54 E,Wommelgem,2160,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F100210(1),H.G.C.-HANOS,Herkenrodesingel 81,Hasselt,3500,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F796,HANSSENS CATERING,Ambachtenlaan 2,Wevelgem,8560,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F101459,HAS FOOD,Turfputten 6,Olen,2250,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F17,HESPEN MELI,Drevendaal 26,Sint-Katelijne-Waver,2860,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F41,HILDAS NV,BOEKTERHEIDE 34,Zolder,3550,"Limburg,Flanders",Belgium,RM,CP,N,caprine ovine,CP - Cutting Plant,,
F1139,HIVIAN,Melanedreef 18,Houthulst,8650,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
