approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
735,Lars Einar Johansson,"Långeruds Hjortgård, Långerud 13",Kristinehamn,68192,"Kristinehamns kommun,Värmland County,Region Svealand",Sweden,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
135,Lars Ipsen,Appeltorp 519,Tomelilla,27393,"Tomelilla kommun,Skåne County,Region Götaland",Sweden,RM,CP SH,Y,caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
6600,Lekeberga Gård AB,Lekeberga Gård,Vintrosa,71993,"Örebro kommun,Örebro County,Region Svealand",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6365,Lillegårdens Kött och Chark AB,Värnamovägen 4,Varberg,43232,"Varbergs kommun,Halland County,Region Götaland",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
001,Lindells Gårdsslakteri AB,"Ottravad, Storegården",Tidaholm,52293,"Tidaholms kommun,Västra Götaland County,Region Götaland",Sweden,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
731,Ljungskile Kött AB,Resteröds Backa 120,Strandskogen,45994,"Uddevalla kommun,Västra Götaland County,Region Götaland",Sweden,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
338,"Lund Magnussen, Elsa / Lindås Lamm",Lindås 305,Karlstad,65594,"Karlstads kommun,Värmland County,Region Svealand",Sweden,RM,SH CP,Y,caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
6340,"Lundgren, Bertil / Lundgrens Lantbruk",Nässom 124,Bjärtrå District,87296,"Kramfors kommun,Västernorrland County,Region Norrland",Sweden,RM,CP,N,bovine ovine,CP - Cutting Plant,,
6194,Läckö Kött & Entreprenad AB,Sunnersberg Backa 3,Lidköping,53198,"Lidköpings kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine,CP - Cutting Plant,,
366,Lövsta Kött AB,Funbo-Lövsta 129,UPPSALA,74177,"Uppsala County,Region Svealand",Sweden,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
6869,M&D produktion AB,Krossgatan 40,Vällingby,16250,"Stockholm County,Region Svealand",Sweden,RM,CP,N,bovine,CP - Cutting Plant,,
543,MHK Foods AB,Göteborgsvägen 3,Surte,44557,"Ale kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
