approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
43-04,Ūkininko A. Petrėno gyvulių skerdykla,"Akmens g. 6, Samanių k., Suvieko sen., Zarasų r. sav.",Samaniai,,Utena County,Lithuania,RM,SH,Y,bovine,SH - Slaughterhouse,,
LT66-06 EB,Ūkininko A. Čimolonsko gyvulių skerdykla,"Bernotų k., Panevėžio r.",Bernotai,LT-38441,Panevezys County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT 81-07,Ūkininko Algio Bukausko ūkis,"Alionių k., Pivonijos sen.",Alionys,,Vilnius County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
52-30,Ūkininko Audriaus Banionio galvijų skerdykla,"Centrinė g. 28, Margininkų k., Taurakiemio sen., Kauno r.",Margininkai,LT-53180,Kaunas County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
52-14,Ūkininko Audriaus Banionio ūkio skerdykla,"Kepyklos g. 8, Margininkų k., Taurakiemio sen., Kauno raj.",Margininkai,LT-53180,Kaunas County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
52-07,Ūkininko Audriaus Banionio ūkis,"Kepyklos g. 8, Margininkų k., Taurakiemio sen., Kauno raj.",Margininkai,LT-53180,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
68-01,Ūkininko Kazimiero Baginsko mėsos cechas,"Varkalių k., Nausodžio sen., Plungės r. sav.",Varkaliai,LT-90104,Telsiai County,Lithuania,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
LT45-01 EB,Ūkininko Mindaugo Ralio ūkio avių skerdykla,"Dvaro g.2., Ligūnų k., Kazitiškio sen., Ignalinos r. sav, LT-30263",Ligūnai,,Utena County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT72-04,Ūkininkė Audronė Žilienė,"Algimantų k., Ariogalos sen., Raseinių r. sav.",Algimantai,,Kaunas County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
46-01,Žemės ūkio UAB Pauliukai,"Kauno apskr. Jonavos r. sav., Žeimių sen., Juškonių k., Jonavos g. 1",Pauliukai,LT-55402,Kaunas County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
87-11,ŽŪB KONTAUTĖLIAI,"Kantautaliai 10, 75404, Laukuvos sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT49-01EB,AB Kaišiadorių paukštynas,"Kaišiadorys, Paukštininkų g. 15",Kaišiadorys,LT-56110,Kaunas County,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT 41-28 EU,AB Vilniaus paukštynas,Gamyklos g. 27,Rudamina,LT-13249,Vilnius County,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
41-020 M,Halina Levandovskaja,Upelio g. 1,Gineitiškės,LT-14166,Vilnius County,Lithuania,PM,SH,Y,,SH - Slaughterhouse,,
LT 39-02,Juozo Žydelio IĮ,"Rimgaudo g. 26, Vilkaviškis",Vilkaviškis,LT-70138,Marijampole County,Lithuania,PM,CP,N,,CP - Cutting Plant,,
LT 54-08,Ričardo Lapinsko ūkis,"Vilbėno g.23, Verpenos k., Kelmės apyl .sen., Kelmės r. sav. LT- 86105",Kelmė,LT-86137,Siauliai County,Lithuania,PM,SH,Y,,SH - Slaughterhouse,,
47-08,UAB SCANDI STANDARD - BALTICS,"Liliškių k. 4, Skaistgirio sen. LT-84389 , Joniškio r. sav.",Liliškės,,Siauliai County; A Poultry,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT 51-07,"UAB ""Krekenavos agrofirma""","Vasaros g. 1, Skriaudučio k., Marijampolės sen., Marijampolės sav.",Skriaudutis,LT-68185,Marijampole County,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT49-02EB,"UAB ,,Girelės paukštynas""","Paukštininkų g. 38, Kaišiadorys",Kaišiadorys,LT-56110,Kaunas County,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
