approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
EZ 639,Henkelmann GmbH & Co. KG,Wetterweg 2,Volkmarsen,34471,"Landkreis Waldeck-Frankenberg,Regierungsbezirk Kassel,Hesse",Germany,RM,CP,N,,CP - Cutting Plant,,
DE SL 10030 EG,Heribert Klein,Ponsheimer Hof,Mandelbachtal,66399,"Saarpfalz-Kreis,Saarland",Germany,RM,SH,Y,bovine porcine ovine caprine,SH - Slaughterhouse,,
DE BY 10010 EG,Hermannsdorfer Landwerkstätten Glonn GmbH & Co. KG,Hermannsdorf 7,Glonn,85625,"Landkreis Ebersberg,Upper Bavaria,Bavaria",Germany,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
DE BY 10006 EG,"Hermannsdorfer Landwerkstätten Glonn GmbH & Co. KG, Wurstmanufaktur Gut Kerschlach",Gut Kerschlach 1,Pähl,82396,"Landkreis Weilheim-Schongau,Upper Bavaria,Bavaria",Germany,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
DE HE 30393 EG,Hof Raßner & Reutel GbR,Hermesbachweg 7,Frielendorf,34621,"Schwalm-Eder-Kreis,Regierungsbezirk Kassel,Hesse",Germany,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NI 10107 EG,Hubert Bahlmann GmbH & Co. KG,Mühlenweg 30,Lindern (Oldenburg),49699,"Landkreis Cloppenburg,Lower Saxony",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE ES 404 EG / DE EZ 581,Hülshorst GmbH & Co. KG,Hiegersweg 15,Verl,33415,"Kreis Gütersloh,Regierungsbezirk Detmold,North Rhine-Westphalia",Germany,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
DE BY 30421 EG,J. Ackermann Landmetzgerei GmbH,Kurbersdorfer Str. 7,Trabitz,92724,"Landkreis Neustadt an der Waldnaab,Upper Palatinate,Bavaria",Germany,RM,CP SH,Y,bovine ovine porcine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
055540080403,J.B. Schlachthof GmbH,Mussumer Ringstr. 10,Bocholt,46395,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE NI 10002 EG,Jade Schlachthof Wilhelmshaven GmbH,Zum Maadesiel 1,Wilhelmshaven,26384,"Wilhelmshaven,Lower Saxony",Germany,RM,SH,Y,bovine,SH - Slaughterhouse,,
