approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 4157,PRIMA DELIKA s.r.o.,"Sedlecká 1,36010 Karlovy Vary",Carlsbad,36010,"Karlovarský kraj,Northwest",Czechia,RM,CP,N,porcine,CP - Cutting Plant,,
CZ 51810016,PROMINENT CZ s.r.o.,Brniště 4,Brniště,47129,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ31840310,Pavel Friedberger,"P. Chelčického 130, 38421 Husinec",Husinec,38421,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 5951,Pavel Růžička,"Pamětice č. p. 76, 67961 Pamětice",Pamětice,,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 31910420,Pavel Štefan,"Višňová č. p. 61, 37821 Višňová",Višňová,,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 1229,Petr Krátký,"Borotice 125, 671 78 Borotice",Borotice,,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 22998,Poctivé uzenářství,"Prosiměřice č. p. 43, 67161 Prosiměřice",Prosiměřice,67161,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,caprine ovine,CP - Cutting Plant,,
CZ 168,Podkrkonošská uzenina s.r.o.,Bělá 149,Jilemnice,51401,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
CZ 186,Pravčická a.s.,Pravčice 242,Pravčice,,"Zlínský kraj,Central Moravia",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 41810060,Probitas spol. s r.o.,"Šafářské Domky 500, Klášter, 36461 Teplá",Teplá,36461,"Karlovarský kraj,Northwest",Czechia,RM,CP,N,bovine,CP - Cutting Plant,,
