approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
6670,"Grambogård Slagteren A/S, slagteri",Ellehaven 55,Tommerup,5690,"Assens Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
1457,"Grillslagteren, V/Lars Drechsler Jakobsen",Kirkebyvej 6,Thisted,7700,"Thisted Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5896,Gris Lam & Co - ferskvarer ApS,Guldalderen 28B,Hedehusene,2640,"Høje-Taastrup Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5461,Grisogko ApS,Niels Bohrs Vej 5,Haderslev,6100,"Haderslev Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5001,Gråsten Fjerkræ A/S,Kværsgade 18,Gråsten,6300,"Sønderborg Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1349,"Gudme Slagteri IVS, Slagteri",Teglværksvej 89,Gudme,5884,"Svendborg Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
2734,HB Kødgros ApS,Slagterboderne 20,København V,1716,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5586,Hallegård Produktion ApS,Aspevej 3,Østermarie,3751,"Bornholms Regionskommune,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
6567,"Hallegård Produktion ApS, Slagteri",Aspevej 3,Østermarie,3751,"Bornholms Regionskommune,Capital Region of Denmark",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
4699,Harald Hansens Eftf. I/S,Fabriksvangen 27,Slangerup,3550,"Frederikssund Municipality,Capital Region of Denmark",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1203,Henrik Hansen,Nybyvej 15,Vipperød,4390,"Holbæk Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
5551,Hilton Food Denmark,Brunagervej 2,Hasselager,8000,"Aarhus Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
300,Himmerlandskød A/S,Slagtehusvej 12,Kjellerup,8620,"Silkeborg Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
867,Himmerlandskød A/S,Gl. Visborgvej 51,Hadsund,9560,"Mariagerfjord Municipality,North Denmark Region",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
126,Himmerlandskød A/S,Nordre Ringvej 99,Aalestrup,9620,"Vesthimmerland Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5336,"Himmerlandskød A/S, v/Lars Andersen",Mejerivej 7,Farsø,9640,"Vesthimmerland Municipality,North Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
