approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
NO372,AASHEIM KJØTT AS,Teglverksveien 49,Solbergelva,3057,Buskerud,Norway,RM,CP,N,,CP - Cutting Plant,,
1852,AVD KJUS VILT SLAKT AVD KJUS BEST GUN,Kongeveien 35,Ås,1433,Akershus,Norway,RM,CP,N,,CP - Cutting Plant,,
NO166,AXEL ANDERSEN AS,Nedre Eikervei 49,Drammen,3045,Buskerud,Norway,RM,CP,N,,CP - Cutting Plant,,
1000,Alf Strøm-Larsen AS avd Furuset,Professor Birkelands vei 28C,Oslo,0976,Oslo,Norway,RM,CP,N,bovine ovine,CP - Cutting Plant,,
102,Animalia AS avd Økern Torgvei Oslo,Økern torgvei 13,Oslo,0580,Oslo,Norway,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
2610,BEERENBERGER AS,Tempevegen 22,Trondheim,7035,Trøndelag,Norway,RM,CP,N,,CP - Cutting Plant,,
1580,BERGSTRØM KJØTT OG DELIKATESSE AS,Isebakkeveien 55,Halden,1788,Østfold,Norway,RM,CP,N,,CP - Cutting Plant,,
1420,BR LUNDAL AS LUNDAL PRODUKSJON,Frakkagjerdvegen 90,Frakkagjerd,5563,Rogaland,Norway,RM,CP,N,ovine,CP - Cutting Plant,,
NO1678,BRUBAKKEN BRØDRENE AS,Gamle Kragerøvei 29,Kragerø,3770,Telemark,Norway,RM,CP,N,,CP - Cutting Plant,,
979,BRØDRENE RINGSTAD AS AVD PRODUKSJON BEDRIFTSVEIEN,Bedriftsveien 10,Rakkestad,1890,Østfold,Norway,RM,CP,N,,CP - Cutting Plant,,
220,Berg - gård AS,Kjelvikvegen 71,Inderøy,7670,Trøndelag,Norway,RM,SH,Y,caprine ovine,SH - Slaughterhouse,,
1279,Bjorli Fjellmat AS,Vasstårnvegen 1,Bjorli,2669,Oppland,Norway,RM,CP,N,,CP - Cutting Plant,,
1629,BØ GÅRDSSLAKTERI AS,Øver-Bø 5,Sortland,8404,Nordland,Norway,RM,SH,Y,,SH - Slaughterhouse,,
267,DALPRO AS AVD HITRA,Hammerstadveien 1,Melandsjø,7250,Trøndelag,Norway,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
706,Dagfinn Spikkelands viltslakteri,Hønemyrveien 19,Øvland,4646,,Norway,RM,CP,N,,"Vest-Agder,West Agder | CP - Cutting Plant",,
291,ERTNES KJØTT AS AVD PRODUKSJON,Værftsgata 2,Moss,1511,Østfold,Norway,RM,CP,N,,CP - Cutting Plant,,
