approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
AT 40564 EG,Gruber Vieh-Fleisch GmbH,Welserstraße 12,Pichl bei Wels,4632,"Pichl bei Wels,Bezirk Wels-Land,Upper Austria",Austria,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
AT 92575 EG,Grögl - Gastrofleisch GmbH,Heizwerkstraße 5 A,Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 92578 EG,HERBERT STEINER Gs.m.b.H.,"Heizwerkstraße 5a Fleischmarkt Inzersdorf (""f-eins"")",Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 70470 EU,Heigl Johannes,Dorf 61,Vomp,6134,"Vomp,Bezirk Schwaz,Tyrol",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT40666EG,Herbert Handlbauer GmbH,Holzstrasse 5,Linz,4020,"Statutarstadt Linz,Upper Austria",Austria,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT 40465 EG,Herbert Handlbauer GmbH,Rehbergerstraße 9,Ried im Traunkreis,4551,"Ried im Traunkreis,Bezirk Kirchdorf an der Krems,Upper Austria",Austria,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT 40847 EG,Herbert Handlbauer GmbH,Marcusstraße 21,Wels,4600,"Statutarstadt Wels,Upper Austria",Austria,RM,CP,N,porcine bovine,CP - Cutting Plant,,
AT 40560 EG,Higelsberger GmbH,Aisting 66,Schwertberg,4311,Upper Austria,Austria,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT 70859 EG,Hofmetzgerei Wilhelm,Ebeneweg 1,Sölden,6450,"Bezirk Imst,Tyrol",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 10192 EG,Holzinger Ferdinand u Mitges Ges.n.b.R.,Hauptstraße 82,Rohrbach bei Mattersburg,7222,"Rohrbach bei Mattersburg,Bezirk Mattersburg,Burgenland",Austria,RM,SH,Y,bovine equine porcine,SH - Slaughterhouse,,
AT 70281 EG,Huber Tirol GmbH,Anichweg 9,St. Johann in Tirol,6380,"St. Johann in Tirol,Bezirk Kitzbühel,Tyrol",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 40831 EU,"Johann Feichtinger, Fleisch- u. Wurst- spezialitäten GmbH & Co. KG",Otterbacher Straße 11,Brunnenthal,4786,"Brunnenthal,Bezirk Schärding,Upper Austria",Austria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
AT 30731 EG,Johann Gantner Ges.m.b.H.,Gewerbering 19,Hollabrunn,2020,"Bezirk Hollabrunn,Lower Austria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 30522 EG,Johann Setzer Gesellschaft m.b.H.,Mallersbach 22,Mallersbach,2092,"Bezirk Hollabrunn,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 61884 EG,Johann ZSIFKOVICS GmbH & Co. KG,Burgenlandstraße 21,Fürstenfeld,8280,"Fürstenfeld,Bezirk Hartberg-Fürstenfeld,Styria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 70280 EG,Josef Mayr Schlachthof Tirol Mitte,Sonnenburg-Brennerstrasse 12,Natters,6161,"Natters,Bezirk Innsbruck-Land,Tyrol",Austria,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
AT 61885 EG,Jöbstl Bauerngut GmbH,Hofgasse 1,Straß in Steiermark,8472,"Straß in Steiermark,Bezirk Leibnitz,Styria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 92915 EG,K & M Fleischhandels KG,"Laxenburger Straße 365/""F-eins""",Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
E140601,Karl Samböck GmbH,Markt 41,Pabneukirchen,4363,"Pabneukirchen,Bezirk Perg,Upper Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT80161EG,Kaspar Fetz GmbH & Co.,Scheidbuchen 525,Andelsbuch,6866,"Andelsbuch,Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
4077687,Keßler Friedrich,Kesselschwand 1 / 1,Mittelberg,6991,Vorarlberg,Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 30674 EG,Kohl & Babinger GesmbH,Marktplatz 2,Erlauf,3253,"Bezirk Melk,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 92576 EG,LISY Manfred GmbH,Heizwerkstraße 5A Fleischmarkt,Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 30775 EG,Land-Fleischerei Sturm,Großnondorf 123,Großnondorf,2042,"Bezirk Hollabrunn,Lower Austria",Austria,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
