approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
212,Jussi LJK Oyj/ Finnwild,Nerkkoonniementie 1111,Iisalmi,,"Northern Savonia,Regional State Administrative Agency for Eastern Finland,Eastern Finland,Mainland Finland",Finland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
586-3,Jussi Lindholm,Kirakantie 178,Ylönkylä,25610,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
206,Länsi-Kalkkuna Oy,Säkyläntie 120 27800 Säkylä Iso-Säkylä,Säkylä,27800,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
215,Naapurin Maalaiskana Oy,Tiemestarintie 6 21360 Lieto,Lieto,21350,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
761-2,Veli-Matti Rämön siipikarjan pienteurastamo,Lehtimäentie 438,Somero,31400,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
329,Aavasaksan Poro,Raanujärventie 3920,Ylitornio,95600,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
315,Angelin poroteurastamo,Angelintie,Inari,99870,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
6041,Harjun Kuusipeurat,Liesjärventie 836 31350 Liesjärvi,Tammela,31350,"Tavastia Proper,Southern Finland,Southern Finland,Mainland Finland",Finland,GM,CP,N,,CP - Cutting Plant,,
302,Hirvassalmenvaaran poroteurastamo,Kittiläe,Ivalo,99800,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
311,Karigasniemen poroteurastamo,Ailikkaantie 284,Ivalo,99800,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
4411,Ketolan tilan Strutsiteurastamo,Korvenojantie 17,Rajamäki,05200,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
317,Kittilän poroteurastamo,Pakatintie 130,Kittilä,99100,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
3170,Kuusamon Lihatuote Oy,Kaamostie 1,Kuusamo,93600,"Northern Ostrobothnia,Regional State Administrative Agency for Northern Finland,Northern Finland,Mainland Finland",Finland,GM,CP,N,,CP - Cutting Plant,,
326,Kuusamon Poroteurastamo Oy,Revontulentie 17,Kuusamo,93600,"Northern Ostrobothnia,Regional State Administrative Agency for Northern Finland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
065-3,Käringsunds Viltslakteri,Käringsundsvägen 54,Eckerö,22270,"Åland Islands,Regional State Agency Åland,Åland Islands,Åland Islands",Finland,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
324,Posion poroteurastamo,Kuusamontie 21 A,Posio,97900,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
321,Ranuan poroteurastamo,Pudasjärventie,Ranua,97700,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
314,Sevettijärven poroteurastamo,Sevettijärventie 9700,Ivalo,99800,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
320,Toivoniemen poroteurastamo,Toivoniementie 290,Kaamanen,99910,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
330,Utsjoen Poroteurastamo,Skalluvaarantie,Utsjoki,,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,SH,Y,,SH - Slaughterhouse,,
318,Vuomaselän poroteurastamo Oy,Teurastamontie 96,Vuotso,99690,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
5040,A.Ahlström Kiinteistöt Oy,Makkarakoskentie 65,Noormarkku,29600,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,WM,CP,N,,CP - Cutting Plant,,
5455,Fiskars Oyj Abp/Kiinteistöt,Fiskarsintie 18,Fiskars,10480,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,WM,GHE,N,,GHE - Game-Handling Establishment,,
2064,Kartanon Riista Oy,Kytäjäntie 846,Hyvinkää,05801,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,WM,CP,N,,CP - Cutting Plant,,
4185,Riistapaja,Yläneentie 175,Mynämäki,23100,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,WM,GHE CP,N,,GHE - Game-Handling Establishment | CP - Cutting Plant,,
4350,Totin Erä ry,Koivuniementie 200,Tottijärvi,,"Pirkanmaa,Western and Central Finland,Western Finland,Mainland Finland",Finland,WM,GHE,N,,GHE - Game-Handling Establishment,,
2235,Viltgården Oy,Mariebergintie 110,Ingå,10210,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,WM,CP,N,,CP - Cutting Plant,,
