approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
BG2004016,TD MOMCHEVI I SIE LTD,"kv. Industrialen, 1a Rodopa str., Sliven",Sliven,8800,Sliven,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG0104022,TEOVYARA LTD,Belasica 29 str.,Petrich,2850,Blagoevgrad,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG0501003,TMMA GRUP EOOD,"Novoseltsi, stopanski dvor, obl.Vidin",Novoselci,3700,Vidin,Bulgaria,RM,SH CP,Y,porcine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
BG1201013,TRACE ANGUS FARM,ПИ 21840.95.573,Doktor-iosifovo,3400,Montana,Bulgaria,RM,SH,Y,bovine,SH - Slaughterhouse,,
BG0804011,TROPIK LTD,УЛ. ОТЕЦ ПАИСИЙ 62,Dobrich,9300,Dobrich,Bulgaria,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
BG0104027,Toni Mesko LTD,Ivan Vazov 16 str.,Razlog,2700,Blagoevgrad,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG1601018EO,Unitemp LTD,"22 ""Zapad"" ul, Voyvodinovo, obl.Plovdiv",Voyvodinovo,4000,Plovdiv,Bulgaria,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
BG1605052EO,Unitemp LTD,"25 Zapad str. Voyvodinovo, Plovdiv region",Voyvodinovo,4000,Plovdiv,Bulgaria,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
BG1505034,VADENI 1 EOOD,"PODEM, UL. VIT 82",Podem,5805,Pleven,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG1505038,VALBORGEN OOD,"PLEVEN, ui. GRENADIRSKA 116",Pleven,5800,Pleven,Bulgaria,RM,CP,N,porcine,CP - Cutting Plant,,
BG1601017,VET 33 – GYOKCHEN RASIM,"Asenovgrad, ul.""Gornovodensko shose"", obl.Plovdiv",Plovdiv,4000,Plovdiv,Bulgaria,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
BG0101014,VIA KANSTRAKSHAN LTD,HAYRYANETO - AREA,Musomishta,2920,Blagoevgrad,Bulgaria,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
BG0104018,VIGI-ANDONOVI LTD,Nikola Vapcarov 16 str.,Blagoevgrad,2700,Blagoevgrad,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG2005027,VIKIBELA 1 OOD,Topolchane,Topolchane,8801,Sliven,Bulgaria,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
