InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
UK.CAED/EW_EA-6957.INSTALLATION,Lyneham Farm,United Kingdom,Hilmarton,-1.9725824,51.495539,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),decommissioned,2018,2007-07-27,,UK.CAED/EW_EA-6957.FACILITY
UK.CAED/EW_EA-16979.INSTALLATION,Lyng Farm EPR/WP3734TQ,United Kingdom,ATTLEBOROUGH,0.98158402,52.517083,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2011-06-08,,UK.CAED/EW_EA-16979.FACILITY
UK.CAED/EW_EA-6581.INSTALLATION,Lyng Poultry Unit EPR/RP3232YT,United Kingdom,Dereham,1.050901,52.708668,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2017-06-14,,UK.CAED/EW_EA-6581.FACILITY
UK.CAED/P0170_07A.INSTALLATION,Lynns Site,United Kingdom,Coleraine,-6.6422,55.1592,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2007-01-01,https://appsd.daera-ni.gov.uk/ipri/,UK.CAED/P0170_07A.FACILITY
UK.CAED/P0230_07A.INSTALLATION,M Keys (Clogher),United Kingdom,Clogher,-7.2394,54.4153,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a)(ii),functional,2019,2007-01-01,https://appsd.daera-ni.gov.uk/IPRI/docs/P0230-07A%20Permit%20Variation%20V3%20Malcolm%20Keys%20Clogher.pdf,UK.CAED/P0230_07A.FACILITY
UK.CAED/P0231_07A.INSTALLATION,M Keys (Glenavy),United Kingdom,Glenavy,-6.2114,54.6011,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a)(ii),functional,2019,2007-01-01,https://appsd.daera-ni.gov.uk/IPRI/docs/P0231-07A%20PPC%20Permit%20Variation%20V2%20Malcolm%20Keys%20Glenavy.pdf,UK.CAED/P0231_07A.FACILITY
UK.CAED/P0470_15A.INSTALLATION,MF Chickens Ltd,United Kingdom,Lisburn,-6.1447,54.4969,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2015-01-01,https://appsd.daera-ni.gov.uk/ipri/,UK.CAED/P0470_15A.FACILITY
UK.SEPA/300002704.Installation,MacLean Eggs,United Kingdom,"Hutton, Berwick Upon Tweed",-2.18576,55.78196,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2018-08-02,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200002704.Facility
UK.SEPA/300002699.Installation,Madderty Poultry Farm,United Kingdom,"Madderty, Crieff",-3.69227,56.37864,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2018-01-17,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200002699.Facility
UK.CAED/NRW170223.INSTALLATION,Maelor Foods Limited,United Kingdom,Wrexham,-2.91752,53.01412,6.4(a),Operating slaughterhouses with a carcass production capacity greater than 50 tonnes per day,8(a),functional,2019,,https://naturalresources.wales/permits-and-permissions/check-for-a-permit-licence-or-exemption/,UK.CAED/NRW170217.FACILITY
UK.CAED/NRW170224.INSTALLATION,Maesmawr Hall Poultry Unit EPR/BP3739UZ,United Kingdom,Welshpool,-3.23239,52.6794,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,,https://naturalresources.wales/permits-and-permissions/check-for-a-permit-licence-or-exemption/,UK.CAED/NRW170218.FACILITY
UK.CAED/EW_EA-16048.INSTALLATION,Magna Park - EPR/XP3637ZH,United Kingdom,MILTON KEYNES,-0.66968947,52.0364,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2019,2013-05-27,,UK.CAED/EW_EA-16048.FACILITY
UK.CAED/NRW170226.INSTALLATION,Magor Brewery EPR/BX7282IS,United Kingdom,Caldicot,-2.84429,51.58422,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2019,,https://naturalresources.wales/permits-and-permissions/check-for-a-permit-licence-or-exemption/,UK.CAED/NRW170220.FACILITY
