a_key,a_source,a_name,a_address,a_id,b_key,b_source,b_name,b_address,b_id,country,name_score,metres_apart,reason,decision
us_fsis_mpi:M2574A+P2574A,us_fsis_mpi,Wolverine Packing Company,"2535 Rivard, Detroit, MI",M2574A+P2574A,us_fsis_mpi:M2574D+P2574D+I2574D,us_fsis_mpi,Wolverine Packing Company,"4225 Dequindre Street, Detroit, MI",M2574D+P2574D+I2574D,USA,1.0,1359,1359 m apart,
us_fsis_mpi:M2574B+P2574B,us_fsis_mpi,Wolverine Packing Co.,"1337 Winder Street, Detroit, MI",M2574B+P2574B,us_fsis_mpi:M2574D+P2574D+I2574D,us_fsis_mpi,Wolverine Packing Company,"4225 Dequindre Street, Detroit, MI",M2574D+P2574D+I2574D,USA,1.0,1381,1381 m apart,
us_fsis_mpi:M2574C+P2574C,us_fsis_mpi,Wolverine Packing Company,"2820 Rivard Street, Detroit, MI",M2574C+P2574C,us_fsis_mpi:M2574D+P2574D+I2574D,us_fsis_mpi,Wolverine Packing Company,"4225 Dequindre Street, Detroit, MI",M2574D+P2574D+I2574D,USA,1.0,1147,1147 m apart,
us_fsis_mpi:M1014+P513,us_fsis_mpi,Carl Buddig and Co,"50 W Taft Drive, South Holland, IL",M1014+P513,us_fsis_mpi:M1014B+P513B,us_fsis_mpi,Carl Buddig & Company,"16615 S. Vincennes, South Holland, IL",M1014B+P513B,USA,1.0,398,398 m apart,
us_fsis_mpi:P46826,us_fsis_mpi,SHENANDOAH VALLEY ORGANIC,"862 N. Liberty Street, Harrisonburg, VA",P46826,us_fsis_mpi:P46826A,us_fsis_mpi,"Shenandoah Valley Organic, LLC","350 Acorn Drive, Harrisonburg, VA",P46826A,USA,1.0,1309,1309 m apart,
us_fsis_mpi:M1533+P1533,us_fsis_mpi,Nestle Culinary Innovation Center,"30000 Bainbridge Rd, Solon, OH",M1533+P1533,us_fsis_mpi:M45537+P45537,us_fsis_mpi,Nestle R&D Center Inc.,"29300 Cannon Road, Solon, OH",M45537+P45537,USA,0.5,862,862 m apart,
us_fsis_mpi:M123+P1448,us_fsis_mpi,Smithfield Fresh Meats Corp.,"401 North Church Street, Smithfield, VA",M123+P1448,us_fsis_mpi:M221A+P9932,us_fsis_mpi,Smithfield Fresh Meats Corp.,"601 N. Church Street, Smithfield, VA",M221A+P9932,USA,1.0,517,517 m apart,
us_fsis_mpi:M123+P1448,us_fsis_mpi,Smithfield Fresh Meats Corp.,"401 North Church Street, Smithfield, VA",M123+P1448,us_fsis_mpi:V221A,us_fsis_mpi,Smithfield Fresh Meats Corp.,"601 NORTH CHURCH STREET, SMITHFIELD, VA",V221A,USA,1.0,517,517 m apart,
us_fsis_mpi:M2617+P2617,us_fsis_mpi,"Gold Creek Foods, LLC","1155 Candler Rd., Gainesville, GA",M2617+P2617,us_fsis_mpi:M31979+P31979,us_fsis_mpi,Gold Creek Processing LLC,"1100 Airport Parkway, Gainesville, GA",M31979+P31979,USA,1.0,1150,1150 m apart,
us_fsis_mpi:M263+P263+V263,us_fsis_mpi,Jones Dairy Farm,"800 Jones Avenue, Fort Atkinson, WI",M263+P263+V263,us_fsis_mpi:M263A+P263A+V263A,us_fsis_mpi,Jones Dairy Farm,"801 Rockwell Ave., Fort Atkinson, WI",M263A+P263A+V263A,USA,1.0,516,516 m apart,
us_fsis_mpi:M13125+P13125,us_fsis_mpi,"Reser's Fine Foods, Inc.","3139 SE 10th Street, Topeka, KS",M13125+P13125,us_fsis_mpi:M13520+P13520,us_fsis_mpi,Reser's Fine Foods,"3167 S. E. 10th, Topeka, KS",M13520+P13520,USA,1.0,295,295 m apart,
us_fsis_mpi:M13125+P13125,us_fsis_mpi,"Reser's Fine Foods, Inc.","3139 SE 10th Street, Topeka, KS",M13125+P13125,us_fsis_mpi:M3870+P3870,us_fsis_mpi,"Reser's Fine Foods, Inc.","3215 SE 6th Ave, Topeka, KS",M3870+P3870,USA,1.0,784,784 m apart,
us_fsis_mpi:M13520+P13520,us_fsis_mpi,Reser's Fine Foods,"3167 S. E. 10th, Topeka, KS",M13520+P13520,us_fsis_mpi:M3870+P3870,us_fsis_mpi,"Reser's Fine Foods, Inc.","3215 SE 6th Ave, Topeka, KS",M3870+P3870,USA,1.0,821,821 m apart,
us_fsis_mpi:V3053,us_fsis_mpi,D'Allende Foods & Cold Storage LLC,"215 Poplar St., El Paso, TX",V3053,us_fsis_mpi:V45311,us_fsis_mpi,Alba Cold Storage,"1705 E. Mills Avenue, El Paso, TX",V45311,USA,0.5,857,857 m apart,
us_fsis_mpi:M1394+P502+G1394+V1394,us_fsis_mpi,OFD Foods LLC,"770 29th Avenue SW, Albany, OR",M1394+P502+G1394+V1394,us_fsis_mpi:M47192+P47192+G47192,us_fsis_mpi,"OFD Foods, LLC","525 25th Ave SW, Albany, OR",M47192+P47192+G47192,USA,1.0,489,489 m apart,
us_fsis_mpi:M1633+P17764+V1633,us_fsis_mpi,"Abbyland Foods, Inc.","508 E. Linden Street, Abbotsford, WI",M1633+P17764+V1633,us_fsis_mpi:M1633B+P17764B,us_fsis_mpi,ABBYLAND FOODS,"918 SPRUCE STREET, ABBOTSFORD, WI",M1633B+P17764B,USA,1.0,456,456 m apart,
us_fsis_mpi:M6761+P6761,us_fsis_mpi,"Italia Foods, Inc","2365 Hammond Drive, Schaumburg, IL",M6761+P6761,us_fsis_mpi:M6761A+P6761A,us_fsis_mpi,Italia Foods,"2127/29 Hammond Dr., Schaumburg, IL",M6761A+P6761A,USA,1.0,356,356 m apart,
us_fsis_mpi:M1841C+P19349C+V1841C,us_fsis_mpi,Sugar Creek Packing Co.,"4585 Muhlhauser Road, Hamilton, OH",M1841C+P19349C+V1841C,us_fsis_mpi:M1841D+P19349D,us_fsis_mpi,Sugar Creek,"4235 Thunderbird Lane, Fairfield, OH",M1841D+P19349D,USA,1.0,1471,1471 m apart,
us_fsis_mpi:M20795+P20795+V20795,us_fsis_mpi,Koch Foods,"4100 Port Union Rd., Fairfield, OH",M20795+P20795+V20795,us_fsis_mpi:M20795C+P20795C+V20795C,us_fsis_mpi,Koch Foods,"635 Commerce Center Dr., Fairfield, OH",M20795C+P20795C+V20795C,USA,1.0,473,473 m apart,
us_fsis_mpi:M17644+P17644+V17644,us_fsis_mpi,Request Foods Inc.,"3460 John F. Donnelly Drive, Holland, MI",M17644+P17644+V17644,us_fsis_mpi:M17644A+P17644A+V17644A,us_fsis_mpi,Request Foods Inc.,"12875 Greenly Street, Holland, MI",M17644A+P17644A+V17644A,USA,1.0,414,414 m apart,
us_fsis_mpi:M17644+P17644+V17644,us_fsis_mpi,Request Foods Inc.,"3460 John F. Donnelly Drive, Holland, MI",M17644+P17644+V17644,us_fsis_mpi:M17644B+P17644B,us_fsis_mpi,Request Foods Inc.,"13044 Quincy Street, Holland, MI",M17644B+P17644B,USA,1.0,847,847 m apart,
us_fsis_mpi:M17644A+P17644A+V17644A,us_fsis_mpi,Request Foods Inc.,"12875 Greenly Street, Holland, MI",M17644A+P17644A+V17644A,us_fsis_mpi:M17644B+P17644B,us_fsis_mpi,Request Foods Inc.,"13044 Quincy Street, Holland, MI",M17644B+P17644B,USA,1.0,575,575 m apart,
